spotify_track_uri,play_count,first_play,last_play,avg_ms_played,skip_rate,shuffle_rate,recency_days,repeat_within_30d,repeat_probability,track_name,artist_name,album_name
003d3VbyJTZiiOYT2W7fnQ,1,2021-01-19 06:08:45,2021-01-19 06:08:45,290933.0,0.0,1.0,0,0,9.7441094e-05,Mr. Bojangles,Neil Diamond,Rainbow
003vvx7Niy0yvhvHt4a68B,36,2020-08-15 22:23:37,2024-09-27 03:04:15,164376.72222222222,0.027777777777777776,0.9166666666666666,1503,0,5.163325e-05,Mr. Brightside,The Killers,Hot Fuss
0048lYktR2LGsDBFnE7ohH,1,2020-07-07 00:44:06,2020-07-07 00:44:06,338.0,0.0,0.0,0,0,0.00011784961,Bill Clips Bob,Lennie Niehaus,Unforgiven - Original Motion Picture Soundtrack
005Dlt8Xaz3DkaXiRJgdiS,1,2024-04-15 02:09:29,2024-04-15 02:09:29,472194.0,0.0,0.0,0,0,0.00014690189,Historia de Taxi,Ricardo Arjona,Historias
008wXvCVu8W8vCbq5VQDlC,1,2020-05-01 14:50:44,2020-05-01 14:50:44,13265.0,0.0,0.0,0,0,0.00011784961,Django,Luis Bacalov,Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack
00Ci0EXS4fNPnkTbS6wkOh,1,2023-07-02 00:17:56,2023-07-02 00:17:56,253880.0,0.0,1.0,0,0,9.7441094e-05,Electric Love - Oliver Remix,BØRNS,Electric Love
00CqEmnPLFKDhAb3cuu6Cs,2,2020-12-09 04:30:11,2020-12-10 21:02:08,177959.0,0.0,0.5,1,1,0.99967086,Halo,Cage The Elephant,Melophobia
00E6OJ0M28RyKtiLYFKFdu,1,2016-12-01 07:41:29,2016-12-01 07:41:29,0.0,0.0,1.0,0,0,6.517772e-05,Blue Orchid - Live,The White Stripes,Under Great White Northern Lights
00GOPLxW4PGQuUYdPJh8K1,1,2020-07-23 03:51:30,2020-07-23 03:51:30,180675.0,0.0,0.0,0,0,9.806152e-05,IV. Sweatpants,Childish Gambino,Because the Internet
00GfiT5AxTNSDQihPeMRkM,5,2015-08-22 01:17:31,2015-09-24 04:58:08,97675.8,0.6,0.6,33,0,0.00012569406,Waiting For Love,Avicii,Waiting For Love
00PesUdTmC3Y5xtZbZND0p,1,2021-09-11 07:27:36,2021-09-11 07:27:36,177946.0,0.0,1.0,0,0,6.834299e-05,Hard For Me,Michele Morrone,Dark Room
00UWxGRFpLVbfc48ArYZr3,1,2021-09-10 01:36:04,2021-09-10 01:36:04,217604.0,0.0,0.0,0,0,0.000113632545,Very Blue,Nick Waterhouse,Promenade Blue
00V8KJuZ0a089fa25Lc9t7,2,2024-05-18 23:48:22,2024-09-08 20:05:51,86566.5,0.5,1.0,112,0,7.27672e-05,Fine By Me,Andy Grammer,Andy Grammer
00YypPBptGyGr1ewBkLGoQ,10,2017-10-12 04:03:32,2017-10-16 23:24:58,308.5,0.0,0.0,4,1,0.9996145,AKA...What A Life!,Noel Gallagher's High Flying Birds,Noel Gallagher's High Flying Birds
00bScuvzFpyRMGWlgfu5sp,17,2019-06-05 23:44:25,2023-06-10 00:42:55,44796.82352941176,0.058823529411764705,0.8823529411764706,1465,0,4.8488684e-05,Lady Godiva's Operation,The Velvet Underground,White Light / White Heat
00fQJbbDqqd5WiztVUF16a,1,2018-11-18 04:09:39,2018-11-18 04:09:39,219197.0,0.0,1.0,0,0,7.210085e-05,Girls Like You,Boyce Avenue,"Cover Sessions, Vol. 5"
00hwJU6jHS9C1LW4PLWXId,1,2017-09-10 22:47:44,2017-09-10 22:47:44,185066.0,0.0,0.0,0,0,8.9366724e-05,Dream a Little Dream of Me,Louis Armstrong,By Popular Demand
00i0O74dXdaKKdCrqHnfXm,1,2020-12-20 07:21:35,2020-12-20 07:21:35,211674.0,0.0,1.0,0,0,7.210085e-05,La Mordidita (feat. Yotuel),Ricky Martin,A Quien Quiera Escuchar
00jXDm9BLNZdf2QC3Br0r7,1,2019-10-21 01:29:02,2019-10-21 01:29:02,380760.0,0.0,1.0,0,0,9.7441094e-05,Space Dementia,Muse,Origin of Symmetry
00kMf9MR2OKGpBovO2wYdG,12,2020-10-31 22:05:09,2024-11-26 20:35:09,92321.0,0.16666666666666666,0.8333333333333334,1486,0,8.46643e-05,Five Years,Seu Jorge,The Life Aquatic Exclusive Studio Sessions Featuring Seu Jorge
00lXUAIznv4Lj3mCTiaTKG,1,2017-05-26 01:21:18,2017-05-26 01:21:18,21130.0,0.0,0.0,0,0,0.00011784961,The Wild Life,Outasight,The Wild Life
00lopN8UjPU58scvfgjSPK,1,2023-07-02 09:11:17,2023-07-02 09:11:17,163386.0,0.0,1.0,0,0,4.2584154e-05,Pushing On,Oliver Dollar,Pushing On
00nQV5fxvY0Gg9wKbuD3Uk,1,2019-09-28 22:38:46,2019-09-28 22:38:46,126080.0,0.0,0.0,0,0,0.00018648822,She Came In Through The Bathroom Window - Take 27,The Beatles,Abbey Road
00oZhqZIQfL9P5CjOP6JsO,76,2016-07-18 19:52:52,2024-11-18 01:01:57,85552.98684210527,0.039473684210526314,0.8026315789473685,3044,0,6.1047846e-05,Tomorrow Never Knows - Remastered 2009,The Beatles,Revolver
00pMvfkyS3cbdEZ8DZFyIU,1,2022-03-29 07:17:15,2022-03-29 07:17:15,238981.0,0.0,0.0,0,0,0.00014690189,No Soy el Aire,Raúl Ornelas,Bajo el Hechizo de Luna
00sydAz6PeOxYzwG1dRIPi,1,2017-05-26 00:30:50,2017-05-26 00:30:50,30332.0,0.0,0.0,0,0,0.00011784961,Search and Destroy [2023 Remaster] - Iggy Mix,The Stooges,Raw Power
00twZviPonMhKWN60B3l0F,1,2022-02-16 03:43:49,2022-02-16 03:43:49,259949.0,0.0,0.0,0,0,0.00014690189,Still D.R.E.,Dr. Dre,Hip Hop: The Collection 2008
00wdByBcx7AZsMtOfx3bvC,2,2020-09-28 03:25:43,2020-11-01 07:04:42,99608.5,0.0,1.0,34,0,4.1635314e-05,Next Girl,The Black Keys,Brothers
0145jQm108maQSr8f0Am8Y,2,2021-01-25 17:54:30,2021-01-26 16:54:32,75008.5,0.0,0.5,0,1,0.9995535,Sunday Morning,Flo Morrissey,"Gentlewoman, Ruby Man"
014NOunS25K1LbcM6DlQ5I,1,2020-09-15 15:48:24,2020-09-15 15:48:24,138206.0,0.0,1.0,0,0,6.0351103e-05,Till the End of the Day - Mono Mix,The Kinks,The Kink Kontroversy
017IETOY1tDnig2uzUa1yH,1,2020-12-20 10:45:32,2020-12-20 10:45:32,238266.0,0.0,1.0,0,0,9.7441094e-05,Solo Una Vez,Sergio Dalma,Nueva Vida
017PF4Q3l4DBUiWoXk4OWT,2,2020-03-27 18:33:59,2020-03-27 18:33:59,221821.0,0.0,0.0,0,1,0.9994261,Break My Heart,Dua Lipa,Future Nostalgia
0181Ycz5nMHjyJkvObqJq5,17,2016-11-28 23:47:41,2018-08-23 06:41:00,86914.76470588235,0.0,0.9411764705882353,632,0,0.00015204767,Taper Jean Girl,Kings of Leon,Aha Shake Heartbreak
01DrXj5EAlZOeRUXihgtQE,3,2024-09-20 20:42:54,2024-09-22 07:42:24,263859.0,0.0,0.6666666666666666,1,1,0.9983467,Which Way To Paradise,Poolside,Heat
01F4LHw42nje1cxjAKjypz,2,2024-03-01 20:56:47,2024-03-01 22:35:30,266426.0,0.0,0.0,0,1,0.9994949,Vivo Per Lei,Andrea Bocelli,My Love Songs (Expanded Edition)
01JYvQ6udfhUw9Jed9EzoK,36,2015-06-14 19:26:40,2024-06-12 19:16:00,97754.19444444444,0.0,0.8333333333333334,3285,0,0.00027127357,Bitch - 2009 Mix,The Rolling Stones,Sticky Fingers
01K4zKU104LyJ8gMb7227B,1,2023-03-02 01:35:19,2023-03-02 01:35:19,258813.0,0.0,0.0,0,0,0.00014690189,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Taylor Swift,Red (Taylor's Version)
01KmuCiXyLX4G0YxVCeHDq,1,2023-01-20 22:57:46,2023-01-20 22:57:46,217226.0,0.0,0.0,0,0,0.000113632545,"Mozart: Piano Sonata No. 11 in A Major, Op. 6 No. 2, K. 331 ""Alla Turca"": III. Allegretto. Turkish March",Wolfgang Amadeus Mozart,Piano Favorites
01OVvCmMDJ5E390NcDOx3v,11,2020-02-21 18:27:58,2024-09-12 22:34:50,45779.09090909091,0.09090909090909091,0.9090909090909091,1665,0,4.8488684e-05,That's The Story Of My Life,The Velvet Underground,The Velvet Underground
01PjrDX13iIjeHc5iJZmb3,18,2021-02-24 22:22:44,2024-09-11 22:53:22,177579.05555555556,0.1111111111111111,0.5555555555555556,1295,0,1.7566503e-05,Empty Garden (Hey Hey Johnny) - Remastered 2003,Elton John,Jump Up!
01SfTM5nfCou5gQL70r6gs,80,2016-12-12 17:11:16,2024-11-08 23:17:00,61077.2125,0.0125,0.625,2888,0,6.128787e-05,Golden Slumbers - Remastered 2009,The Beatles,Abbey Road
01UgMLytEqNVhC6YAMzsrh,3,2021-01-13 15:52:31,2021-01-28 22:08:44,34899.666666666664,0.0,0.3333333333333333,15,1,0.9997557,Blood of the Lamb,Liz Brasher,Painted Image
01UstUPbzPgq2MNp6h0tVo,28,2017-01-08 09:29:43,2020-11-20 20:22:44,142187.9642857143,0.0,0.7857142857142857,1412,0,0.00018566054,The National Anthem,Radiohead,Kid A
01YvpF3BGxZfxLhyj6UREm,15,2019-10-07 21:12:13,2022-09-30 16:25:46,52446.8,0.0,1.0,1088,0,0.00015537537,Hideaway - Stereo Instrumental,Freddie King,Blues Breakers
01ZpFhrMMqKPVCwyqXneVp,19,2016-12-14 03:34:05,2020-10-09 20:51:08,68500.8947368421,0.0,0.9473684210526315,1395,0,0.00016545561,True Love Waits,Radiohead,A Moon Shaped Pool
01bDGKdNQAuPkMgxk0ftkM,2,2021-04-12 23:50:54,2021-04-13 16:38:45,210266.0,0.0,1.0,0,1,0.99875236,True Blue,Bright Eyes,Lua
01bwGowuoCT9klYUIJwuBl,1,2023-01-26 20:54:42,2023-01-26 20:54:42,257385.0,0.0,1.0,0,0,9.7441094e-05,We Will Never Meet Again,John Rae,Where the Wild Clematis Grow
01hF9Ah13aSaKcCnH3hm9p,2,2022-03-30 21:32:57,2022-03-31 06:51:25,325013.0,0.0,0.5,0,1,0.999463,Tan Joven y Tan Viejo - En Directo,Joaquín Sabina,Nos Sobran Los Motivos
01nkjRsgpYwtbH94l7y4cg,2,2015-08-12 06:35:46,2015-09-02 02:06:57,259506.0,0.0,0.0,20,1,0.99982077,Itchin' on a Photograph,GROUPLOVE,Never Trust a Happy Song
01qvTBd6mylOyIaJBGaSra,2,2017-07-21 18:23:43,2019-09-02 22:08:06,9718.5,0.0,0.5,773,0,0.00013714354,Circo Soledad (Intro),Ricardo Arjona,Circo Soledad
